"","kMEllow","kMEown","kMEue","kMErquoise","kMEey"
"APOA1",-0.178824648008625,-0.332569133160947,0.681290541651027,0.545088202350498,0.133062785793712
"APOA2",-0.119763240699859,-0.680222433613861,0.166320868147299,0.476139119008595,-0.0448278735211381
"APOA4",-0.31627239640534,0.0465189666834321,0.45851571025789,-0.16960217368813,0.206330022639451
"APOB",0.0162008664200078,-0.147463013366827,0.263311964508894,0.809531448239236,-0.0990196306192838
"APOC1",-0.129718253174862,-0.20847167155388,0.727771674395758,0.429168392679647,0.051541523524356
"APOC2",0.471100867094627,0.00329329687523566,-0.0640317845112174,-0.0288333800209982,0.0549449309122133
"APOC3",-0.0481589032020965,-0.232228130726627,0.794343356754764,0.308373667858139,0.0888400102271765
"APOD",0.037261408343614,-0.0453181167535912,0.799772555971133,0.410215804034531,0.278662711538247
"APOE",-0.159013426932123,-0.142053528175219,-0.0596648525919261,0.85582831029943,0.121634423643206
"APOF",-0.0948062915589048,-0.0684553780719705,0.414123756302924,0.371147287750627,-0.180975351017043
"APOL1",0.0368514884186233,0.407213389114414,-0.353366451615449,0.286539557030876,0.0413692788683288
"APOM",-0.0732262832610285,-0.220648944694791,0.290270265822396,0.433538095456274,-0.0415579817249941
"LPA",-0.117284952247407,-0.118813038533206,-0.0332557631762432,-0.00166266931738484,0.116034261389898
"RECQL",-0.479473639744568,-0.0774713865432053,0.0118721314776013,-0.388093573081639,0.0628238173228674
"ATRN",-0.305179706405715,0.75779925884407,0.442622480078483,-0.0254932397895068,0.20207706382366
"SLC4A1",-0.307914187136835,0.81397832874276,0.131254211192192,-0.214394622086672,0.144194912427591
"BBOF1",-0.207188440347218,0.894197478497211,-0.0912151061509874,-0.269427673813047,0.217995514402895
"HSPG2",-0.105689561160886,-0.136291729821784,-0.207942808871394,-0.258356150615801,0.860449184791923
"APOH",-0.52007956419171,0.0405724104164705,-0.372526703422524,-0.583397800604064,-0.324157902790792
"B2M",0.0951915417317446,0.517992231443342,0.21891725328654,-0.107643893105825,0.154003171316946
"ACTBL2",0.935170674775352,-0.126324811289635,0.252893793045578,0.0812311961860607,-0.022279372181409
"CNDP1",-0.320345063701266,0.202230155951328,0.607098571411439,0.74305756647293,-0.0974495834308721
"BTD",-0.150369955958094,-0.0210330642252643,0.386578685102783,0.776778263153055,0.0615841463122375
"C4BPA",0.235689809843838,-0.204181969024357,-0.0905882283396684,0.829706601747576,-0.0939408615688539
"C4BPB",0.0899861382541124,-0.0864731512307817,0.0810116856350957,0.961878073343199,-0.0622276155334053
"CDH20",-0.015567074732636,-0.302257255618022,0.0189443610766708,0.269818771689272,-0.243993896536115
"CDH5",-0.31666720944181,-0.471308693508493,0.145386771840576,0.145487575624363,0.327987647874473
"CDH7",-0.0148475941135537,-0.302122165357825,0.0164611639400775,0.271018310575598,-0.242889753787891
"CALD1",0.297428363638056,0.753782420456478,0.573505256168597,0.0295727542034936,-0.0362595665659705
"CALM3",0.97600250478556,-0.0919267084367663,0.127911388368629,-0.00446513834291234,-0.0573483163145769
"CALML5",-0.00405782226273616,-0.0454513642279648,0.000733067122570309,0.577203437460445,0.650629736984515
"CALR",0.95520531082474,-0.123197022409727,-0.074126003328366,0.107610436609136,0.0738081600990286
"CA1",-0.275827757999753,0.882057215213648,0.304780747157376,-0.130954976233009,-0.0462119246249993
"CA2",-0.0608551860761831,0.779010018257651,0.40564126573256,0.0168748553677597,-0.0839334600868616
"CPB2",0.0918970738644795,-0.215707413964813,0.0581563843303864,0.93959297417362,-0.110102093597829
"CPN1",-0.456928632131954,0.161057428572197,-0.267707865026114,-0.152085073052295,-0.631149497411589
"CPN2",-0.158198991991158,-0.0836669069065315,0.154699686182017,0.959632351135137,-0.0846738037190583
"COMP",-0.0916190518852463,-0.0365749037560064,0.612349371769612,0.350600706155974,-0.140824767969714
"CASP14",-0.215767325714391,0.940363452056651,0.135562566513192,-0.209887414286531,0.203660603782111
